Time,pH Value
2024-07-13 20:52:43,7.057
2024-07-13 20:52:46,7.07
2024-07-13 20:52:57,7.05
2024-07-13 20:53:00,7.043
2024-07-13 20:53:07,7.0
2024-07-13 20:53:11,7.057
2024-07-13 20:53:14,7.045
2024-07-13 20:53:25,7.06
2024-07-13 20:53:35,7.058
2024-07-13 20:53:46,7.072
2024-07-13 20:53:49,7.067
2024-07-13 20:53:53,7.063
2024-07-13 20:54:04,7.054
2024-07-13 20:54:07,7.066
2024-07-13 20:54:10,7.074
2024-07-13 20:54:14,7.06
2024-07-13 20:54:17,7.075
2024-07-13 20:54:21,7.05
2024-07-13 20:54:24,7.065
2024-07-13 20:54:28,7.054
2024-07-13 20:54:31,7.065
2024-07-13 20:54:35,7.07
2024-07-13 20:54:38,7.067
2024-07-13 20:54:42,7.053
2024-07-13 20:54:45,7.063
2024-07-13 20:54:49,7.06
2024-07-13 20:54:52,7.07
2024-07-13 20:54:56,7.063
2024-07-13 20:54:59,7.047
2024-07-13 20:55:03,7.065
2024-07-13 20:55:13,7.06
2024-07-13 20:55:24,7.067
2024-07-13 20:55:27,7.053
2024-07-13 20:55:31,7.067
2024-07-13 20:55:34,7.076
2024-07-13 20:55:45,7.052
2024-07-13 20:55:48,7.059
2024-07-13 20:55:52,7.05
2024-07-13 20:55:55,7.068
2024-07-13 20:56:06,7.071
2024-07-13 20:56:16,7.069
2024-07-13 20:56:27,7.062
2024-07-13 20:56:30,7.065
2024-07-13 20:56:34,7.067
2024-07-13 20:56:37,7.063
2024-07-13 20:56:42,7.067
2024-07-13 20:56:46,7.055
2024-07-13 20:56:49,7.067
2024-07-13 20:56:53,7.062
2024-07-13 20:56:56,7.063
2024-07-13 20:56:59,7.054
2024-07-13 20:57:03,7.063
2024-07-13 20:57:08,7.06
2024-07-13 20:57:11,7.061
2024-07-13 20:57:45,7.06
